TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
56.0,"X, N, Y, L","P, L, N",1810.11175793,7325265.62697465,"W, C, H, R, O, A, B",CHELMSFORD,"Chelmsford town, Middlesex County, Massachusetts",13628,123630,,,
57.0,Y,"P, L",60.158306440000000,243452.028808685,"R, O, H",CHELSEA,"Chelsea city, Suffolk County, Massachusetts",13353,64782,,,
58.0,"Y, N, X, L","P, L, N, X",6971.96079362,28214510.57392290,"C, A, H, B, W, R",CHESHIRE,"Cheshire town, Berkshire County, Massachusetts",1509,69069,,,
59.0,"L, Y, N, X","N, P, L",8483.60680412,34332165.64649340,"R, C, B, W, F, H",CHESTER,"Chester town, Hampden County, Massachusetts",517,76283,,,
60.0,"Y, X, N, L","P, N",8082.42957676,32708368.777234000,"C, B, A, O, R",CHESTERFIELD,"Chesterfield town, Hampshire County, Massachusetts",460,80156,,,
61.0,"Y, L","P, L, N",1231.86598692,4985190.01698847,"R, H, C, B",CHICOPEE,"Chicopee city, Hampden County, Massachusetts",23852,56509,,,
62.0,"N, X, Y, L","P, L",3338.23766321,13509359.80355680,"C, H, B, R, A",CHILMARK,"Chilmark town, Dukes County, Massachusetts",519,104716,,,
63.0,"Y, N, L","L, P, N",3835.19056276,15520465.559921,"H, A, B, R",CLARKSBURG,"Clarksburg town, Berkshire County, Massachusetts",729,67292,,,
64.0,"Y, N, L, X","P, L, X",730.95134528,2958089.22443126,"C, H, W, R, B",CLINTON,"Clinton town, Worcester County, Massachusetts",6455,84938,,,
65.0,"Y, X, L, N","P, L, N",2281.57346543,9233170.50886962,"C, W, H, R, B",COHASSET,"Cohasset town, Norfolk County, Massachusetts",3146,156689,,,
66.0,"X, N, Y, L","P, L, N",6113.428029690000,24740151.353547000,"W, C, B, A, H, R",COLRAIN,"Colrain town, Franklin County, Massachusetts",726,63750,,,
67.0,"X, Y, L, N","N, P, L, X, T",6528.89289234,26421490.964056500,"R, W, C, B, A, H, O",CONCORD,"Concord town, Middlesex County, Massachusetts",6357,169335,,,
68.0,"N, L, Y, X","P, L",7641.26976797,30923113.480026600,"C, A, B, W, H, R",CONWAY,"Conway town, Franklin County, Massachusetts",801,82470,,,
69.0,"Y, N, L, X","P, L, N, X",4420.20299726,17902174.26116690,"C, B, H, A, R, X",CUMMINGTON,"Cummington town, Hampshire County, Massachusetts",408,76300,,,
70.0,"Y, X, N, L","P, L",7399.690934980000,29945452.972861600,"C, W, A, H, B, O, R",DALTON,"Dalton town, Berkshire County, Massachusetts",2907,72664,,,
